鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
台東市,房地(土地+建物),臺東縣臺東市南昌街112巷31~60號,66.0,住,,,1070611,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0640811,91.74,2,1,2,有,無,4120000,44910,,0.0,0,,RPQNMLNJPHNFFAV07CA
卑南鄉,房地(土地+建物),臺東縣臺東市泰安路271~300號,123.45,,鄉村區,乙種建築用地,1070302,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0850319,121.64,3,2,2,有,無,3900000,32062,,0.0,0,,RPSNMLNJPHNFFAV27CA
台東市,房地(土地+建物),臺東縣臺東市興安路二段1~30號,134.69,住,,,1070620,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0951103,217.85,0,0,1,無,無,9000000,41313,,0.0,0,,RPPOMLOJPHNFFAV17CA
卑南鄉,土地,利家段7891~7920地號,267.0,,特定農業區,甲種建築用地,1070609,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1130000,4232,,0.0,0,含未保存瓦房建物2間,RPVOMLOJPHNFFAV77CA
台東市,房地(土地+建物),臺東縣臺東市中山路361~390號,422.0,商,,,1070524,土地3建物1車位0,一層，二層，三層，四層，五層，六層，七層，騎樓，地下一層，地下二層,七層,其他,見其他登記事項,鋼筋混凝土造,0850120,2792.94,69,2,69,有,無,100000000,35805,,0.0,0,旅館(含設備價值新台幣850萬),RPPNMLNLPHNFFAV17CA
台東市,房地(土地+建物),臺東縣臺東市福建路241~270號,417.0,商,,,1070524,土地1建物1車位0,一層，二層，三層，四層，五層，地下層,五層,其他,見其他登記事項,見其他登記事項,0690531,2285.73,46,2,46,有,無,42300000,18506,,0.0,0,,RPSNMLNLPHNFFAV47CA
長濱鄉,房地(土地+建物),臺東縣長濱鄉永福路61~90號,3925.12,,風景區,農牧用地,1070601,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,0850124,390.9,7,1,2,有,無,8300000,,,0.0,0,,RPPNMLOJPHNFFBV17CA
卑南鄉,土地,明峰段91~120地號,1177.4,,山坡地保育區,丙種建築用地,1070430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,859502,730,,0.0,0,,RPUNMLQKPHNFFAV87CA
太麻里鄉,土地,北橋段181~210地號,6843.79,住,,,1070618,土地15建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40000000,5845,,0.0,0,權利人共二人,RPPNMLQJPHNFFDV57CA
台東市,土地,台東段91~120地號,5.0,商,,,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,417600,83520,,0.0,0,,RPPNMLOJPHNFFAV17DA
成功鎮,土地,新港段新港小段661~690地號,8015.0,,風景區,農牧用地,1070616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,599,,0.0,0,,RPRNMLPJPHNFFBV57DA
台東市,土地,台東段181~210地號,107.0,住,,,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,16822,,0.0,0,,RPRNMLPJPHNFFAV37CA
卑南鄉,土地,初鹿段3751~3780地號,5785.0,,特定農業區,農牧用地,1070620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5785000,1000,,0.0,0,,RPSNMLPJPHNFFAV47CA
卑南鄉,土地,煙草間段301~330地號,284.01,,鄉村區,乙種建築用地,1070528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1030920,3630,,0.0,0,土地增值稅鑑界規費等相關過戶費用由買賣雙方各負擔一半,RPSNMLQJPHNFFAV57CA
台東市,房地(土地+建物),臺東縣臺東市利嘉路333巷31~60號,254.64,住,,,1070605,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050425,225.4,5,2,6,有,無,9150000,40594,,0.0,0,,RPPNMLPJPHNFFAV17CA
台東市,土地,自強段961~990地號,204.6,住,,,1070511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8664600,42349,,0.0,0,,RPQOMLOJPHNFFAV27CA
