編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLOJPHNFFAV17CA,12,217.85,見其他登記事項,見其他登記事項,95年11月3日,三層,一層 二層 三層
RPPNMLNLPHNFFAV17CA,22,2792.94,見其他登記事項,鋼筋混凝土造,85年1月20日,七層,一層 二層 三層 四層 五層 六層 七層 騎樓 地下一層 地下二層
RPSNMLNJPHNFFAV27CA,22,121.64,住家用,加強磚造,85年3月19日,二層,一層 二層
RPQNMLNJPHNFFAV07CA,43,91.74,住家用,見其他登記事項,64年8月11日,二層,一層 二層
RPPNMLOJPHNFFBV17CA,22,390.90,農舍,鋼筋混凝土造,85年1月24日,三層,一層 二層 三層
RPSNMLNLPHNFFAV47CA,,524.28,住商用,見其他登記事項,,四層,一層 二層 三層 四層 騎樓 地下層
RPSNMLNLPHNFFAV47CA,38,1761.45,見其他登記事項,見其他登記事項,69年5月31日,五層,一層 二層 三層 四層 五層 地下層
RPTOMLOJPHNFFAV57CA,,301.29,見其他登記事項,鋼筋混凝土造,107年4月11日,四層,一層 二層 三層 四層
RPPNMLPJPHNFFAV17CA,2,225.40,住家用,見其他登記事項,105年4月25日,三層,一層 二層 三層
RPPNMLMKPHNFFAV07DA,33,110.04,住家用,加強磚造,74年8月14日,二層,一層 二層 騎樓
RPVNMLRKPHNFFAV08CA,37,114.08,住家用,加強磚造,70年8月26日,二層,一層 二層 騎樓
RPRNMLQJPHNFFAV47CA,24,31.98,見其他登記事項,鋼筋混凝土造,83年4月19日,十四層,三層
RPRNMLQJPHNFFAV47CA,24,13.37,見其他登記事項,鋼筋混凝土造,83年4月19日,十四層,
RPPNMLPJPHNFFCV37CA,33,111.02,住家用,鋼筋混凝土造,74年3月27日,二層,一層 二層
RPTNMLKKPHNFFAV17CA,36,98.73,住家用,加強磚造,70年12月10日,二層,一層 二層
RPQNMLKKPHNFFAV86CA,23,94.81,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,一層
RPQNMLKKPHNFFAV86CA,23,15.37,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPQNMLKKPHNFFAV86CA,23,11.40,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPPNMLTJPHNFFAV57CA,24,172.00,見其他登記事項,鋼筋混凝土造,83年7月30日,七層,一層 二層 騎樓
RPPNMLTJPHNFFAV57CA,24,.03,見其他登記事項,鋼筋混凝土造,83年7月30日,七層,
RPPNMLTJPHNFFAV57CA,24,.05,見其他登記事項,鋼筋混凝土造,83年7月30日,七層,
RPSNMLTJPHNFFAV87CA,25,28.00,商業用,鋼筋混凝土造,82年10月26日,六層,一層
RPSNMLTJPHNFFAV87CA,25,11.62,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,
RPROMLKMPHNFFAV27CA,22,189.09,住家用,鋼筋混凝土造,85年2月16日,三層,一層 二層 三層
RPTNMLTJPHNFFAV97CA,38,97.53,住家用,加強磚造,69年5月14日,二層,一層 二層
RPSNMLLKPHNFFAV17CA,35,507.24,住家用,鋼筋混凝土造,72年1月1日,三層,一層 二層 三層 騎樓 地下層
RPPOMLLKPHNFFAV96CA,33,76.38,住家用,加強磚造,73年12月24日,二層,一層 二層 騎樓
RPPOMLLKPHNFFAV96CA,33,76.38,住家用,加強磚造,73年12月24日,二層,一層 二層 騎樓
RPQNMLOLPHNFFAV37CA,20,481.44,農舍,鋼筋混凝土造,87年2月19日,二層,一層 二層
RPTOMLMJQHNFFAV47CA,,126.05,見其他登記事項,見其他登記事項,107年4月19日,一層,一層
RPUNMLLKPHNFFAV37CA,,219.79,見其他登記事項,見其他登記事項,107年5月3日,三層,一層 二層 三層
RPTNMLLKPHNFFAV27CA,,111.16,見其他登記事項,見其他登記事項,107年5月3日,三層,一層 二層 三層
RPTNMLLKPHNFFAV27CA,,111.16,見其他登記事項,見其他登記事項,107年5月3日,三層,一層 二層 三層
RPPNMLRKPHNFFBV57CA,37,117.14,住家用,加強磚造,70年11月23日,二層,一層 二層 騎樓
RPTNMLQKPHNFFAV77CA,40,69.30,住家用,加強磚造,67年4月25日,二層,一層 二層
RPWNMLTKPHNFFAV38CA,34,121.90,住家用,加強磚造,73年9月1日,二層,一層 二層 騎樓
RPVNMLLKPHNFFAV47CA,,236.08,見其他登記事項,見其他登記事項,107年4月25日,三層,一層 二層 三層 見其他登記事項
RPXNMLLKPHNFFAV67CA,26,173.83,住家用,鋼筋混凝土造,81年1月11日,三層,一層 二層 三層
RPWNMLLKPHNFFAV57CA,12,246.44,見其他登記事項,見其他登記事項,94年12月13日,三層,一層 二層 三層 騎樓
RPWNMLLKPHNFFAV57CA,12,246.44,見其他登記事項,見其他登記事項,94年12月13日,三層,一層 二層 三層 騎樓
RPUNMLKKPHNFFAV37DA,24,50.91,住家用,鋼筋混凝土造,83年12月19日,五層,二層
RPUNMLKKPHNFFAV37DA,24,38.00,住家用,鋼筋混凝土造,83年12月19日,五層,二層
RPUNMLKKPHNFFAV37DA,24,28.71,住家用,鋼筋混凝土造,83年12月19日,五層,二層
RPUNMLKKPHNFFAV37DA,24,1.18,見其他登記事項,鋼筋混凝土造,83年12月19日,五層,
RPUNMLKKPHNFFAV37DA,24,1.18,見其他登記事項,鋼筋混凝土造,83年12月19日,五層,
RPUNMLKKPHNFFAV37DA,24,23.97,見其他登記事項,鋼筋混凝土造,83年12月19日,五層,
