編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPUNMLQKPHNFFAV87CA,明峰段,1177.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVOMLOJPHNFFAV77CA,利家段,86.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLQJPHNFFDV57CA,北橋段,2284.47,都市：住
RPVOMLOJPHNFFAV77CA,利家段,86.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLQJPHNFFDV57CA,北橋段,151.36,都市：其他
RPVOMLOJPHNFFAV77CA,利家段,47.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLQJPHNFFDV57CA,北橋段,563.81,都市：其他
RPVOMLOJPHNFFAV77CA,利家段,47.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLQJPHNFFDV57CA,北橋段,75.67,都市：住
RPPNMLQJPHNFFDV57CA,北橋段,389.89,都市：住
RPPNMLQJPHNFFDV57CA,北橋段,343.88,都市：其他
RPPNMLQJPHNFFDV57CA,北橋段,.82,都市：住
RPPNMLQJPHNFFDV57CA,北橋段,10.91,都市：其他
RPPNMLQJPHNFFDV57CA,北橋段,2583.49,都市：住
RPPNMLQJPHNFFDV57CA,北橋段,40.68,都市：其他
RPPNMLQJPHNFFDV57CA,北橋段,303.04,都市：其他
RPPNMLQJPHNFFDV57CA,北溪段,78.83,都市：其他
RPPNMLQJPHNFFDV57CA,北溪段,1.85,都市：住
RPPNMLQJPHNFFDV57CA,北溪段,8.00,都市：住
RPPNMLQJPHNFFDV57CA,北溪段,7.09,都市：其他
RPPOMLOJPHNFFAV17CA,興安段,134.69,都市：住
RPPNMLOJPHNFFAV17DA,台東段,5.00,都市：商
RPPNMLNLPHNFFAV17CA,台東段,379.00,都市：商
RPPNMLNLPHNFFAV17CA,台東段,23.00,都市：商
RPPNMLNLPHNFFAV17CA,台東段,20.00,都市：商
RPRNMLPJPHNFFBV57DA,新港段新港小段,8015.00,非都市：風景區 ; 非都市編定：農牧用地
RPSNMLNJPHNFFAV27CA,泰安段,123.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNJPHNFFAV07CA,台東段,66.00,都市：住
