鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
金城鎮,土地,莒光樓段511~540地號,428.0,農,,,1070531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,1519,,0.0,0,沒有通路之農地,RPRNMLOJPHNFFAW37CA
金寧鄉,土地,北二三劃測段361~390地號,3767.71,農,,,1070610,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24929425,6617,,0.0,0,不含土地增值稅及其他費用,RPQNMLPJPHNFFAW47DA
金寧鄉,土地,北二三劃測段391~420地號,1000.02,農,,,1070610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000100,5000,,0.0,0,不含土地增值稅及其他費用,RPRNMLPJPHNFFAW57DA
金寧鄉,土地,寧劃段1471~1500地號,491.09,農,,,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,3054,,0.0,0,,RPQNMLOJPHNFFAW27CA
金寧鄉,土地,赤岑段391~420地號,616.73,其他,,,1070613,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,709240,1150,,0.0,0,,RPSNMLOJPHNFFAW57DA
金城鎮,房地(土地+建物),金門縣金城鎮珠浦南路44巷12弄1~30號,33.47,住,,,1070625,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070117,75.22999999999999,2,2,2,有,無,6000000,79755,,0.0,0,,RPWOMLOJPHNFFAW97CA
金湖鎮,土地,士校段31~60地號,2130.22,農,,,1070627,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6200000,2910,,0.0,0,,RPPNMLMKPHNFFAW07CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路151~180號,26.66,住,,,1070613,土地1建物1車位0,一層，見其他登記事項,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040923,127.08,0,0,0,無,有,11500000,90494,,0.0,0,,RPRNMLMKPHNFFAW27CA
金寧鄉,土地,安西劃段871~900地號,121.69,農,,,1070626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,32870,,0.0,0,,RPQNMLKMPHNFFAW27DA
