編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLOJPHNFFAW97CA,,58.12,見其他登記事項,鋼筋混凝土造,107年1月17日,四層,三層
RPWOMLOJPHNFFAW97CA,,17.11,見其他登記事項,鋼筋混凝土造,107年1月17日,四層,
RPQOMLKKPHNFFAW17DA,,71.28,見其他登記事項,鋼筋混凝土造,107年2月2日,五層,二層
RPQOMLKKPHNFFAW17DA,,10.18,見其他登記事項,鋼筋混凝土造,107年2月2日,五層,
RPQOMLKKPHNFFAW17DA,,7.06,見其他登記事項,鋼筋混凝土造,107年2月2日,五層,
RPWOMLKKPHNFFAW67CA,8,424.98,住家用,鋼筋混凝土造,99年4月12日,三層,一層 二層 三層
RPRNMLMKPHNFFAW27CA,3,89.55,見其他登記事項,鋼筋混凝土造,104年9月23日,七層,一層 見其他登記事項
RPRNMLMKPHNFFAW27CA,3,37.53,見其他登記事項,鋼筋混凝土造,104年9月23日,七層,
RPPPMLKKPHNFFAW07CA,3,86.39,見其他登記事項,鋼筋混凝土造,104年9月23日,七層,四層
RPPPMLKKPHNFFAW07CA,3,36.19,見其他登記事項,鋼筋混凝土造,104年9月23日,七層,
RPSNMLKKPHNFFAW17CA,10,88.81,見其他登記事項,鋼筋混凝土造,97年12月11日,五層,三層
RPSNMLKKPHNFFAW17CA,10,9.56,見其他登記事項,鋼筋混凝土造,97年12月11日,五層,
RPROMLKKPHNFFAW27DA,,71.51,見其他登記事項,鋼筋混凝土造,107年2月2日,五層,三層
RPROMLKKPHNFFAW27DA,,10.21,見其他登記事項,鋼筋混凝土造,107年2月2日,五層,
RPROMLKKPHNFFAW27DA,,35.99,見其他登記事項,鋼筋混凝土造,107年2月2日,五層,
RPQNMLKKPHNFFAW96CA,,71.57,見其他登記事項,鋼筋混凝土造,107年1月18日,四層,三層
RPQNMLKKPHNFFAW96CA,,11.26,見其他登記事項,鋼筋混凝土造,107年1月18日,四層,
