編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPQNMLKMPHNFFAW27DA,安西劃段,121.69,都市：農
RPRNMLOJPHNFFAW37CA,莒光樓段,428.00,都市：農
RPRNMLPJPHNFFAW57DA,北二三劃測段,1000.02,都市：農
RPQNMLOJPHNFFAW27CA,寧劃段,491.09,都市：農
RPPNMLMKPHNFFAW07CA,士校段,2130.22,都市：農
RPRNMLKMPHNFFAW37DA,中一段,43.33,都市：其他
RPQNMLPJPHNFFAW47DA,北二三劃測段,500.01,都市：農
RPQNMLPJPHNFFAW47DA,北二三劃測段,666.68,都市：農
RPQNMLPJPHNFFAW47DA,北二三劃測段,500.00,都市：農
RPQNMLPJPHNFFAW47DA,北二三劃測段,500.00,都市：農
RPQNMLPJPHNFFAW47DA,北二三劃測段,1000.01,都市：農
RPQNMLPJPHNFFAW47DA,北二三劃測段,448.53,都市：農
RPQNMLPJPHNFFAW47DA,北二三劃測段,51.48,都市：農
RPQNMLPJPHNFFAW47DA,盤山村段,101.00,都市：住
RPWNMLKKPHNFFAW57CA,東珩段,1181.83,都市：農
RPWNMLKKPHNFFAW57CA,東珩段,128.60,都市：其他
RPWNMLKKPHNFFAW57CA,東珩段,628.03,都市：農
RPWNMLKKPHNFFAW57CA,東珩段,252.69,都市：其他
RPSNMLOJPHNFFAW57DA,大園段,411.14,都市：其他
RPSNMLOJPHNFFAW57DA,赤岑段,205.59,都市：其他
RPOOMLKKPHNFFAW86CA,寧湖三劃段,1000.00,都市：農
RPWOMLOJPHNFFAW97CA,天后宮段,33.47,都市：住
RPQOMLKKPHNFFAW17DA,湖尾村段,38.43,都市：住
RPPOMLKKPHNFFAW96CA,機場段,149.87,都市：農
RPPOMLKKPHNFFAW96CA,機場段,273.09,都市：農
RPQNMLKLPHNFFAW07CA,官澳段,354.00,都市：其他
RPWOMLKKPHNFFAW67CA,埔邊村段,257.00,都市：其他
RPRNMLMKPHNFFAW27CA,市港段,26.66,都市：住
RPSNMLKLPHNFFAW27CA,寧湖一劃段,84.67,都市：其他
RPPNMLQLPHNFFAW57CA,呂厝村段,494.00,都市：農
RPPPMLKKPHNFFAW07CA,市港段,25.70,都市：住
RPSNMLKKPHNFFAW17CA,祥豐段,30.77,都市：住
RPRNMLKLPHNFFAW17CA,東洲段,1221.86,都市：其他
RPRNMLKLPHNFFAW17CA,東洲段,29.45,都市：其他
RPROMLKKPHNFFAW27DA,湖尾村段,38.56,都市：住
RPSNMLMKPHNFFAW37CA,庵前劃測段,900.01,都市：農
RPXNMLTKPHNFFAW58CA,小西門劃測段,132.54,都市：住
RPQNMLKKPHNFFAW96CA,羅劃測段,43.46,都市：其他
