鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
馬公市,土地,光榮段211~240地號,181.19,住,,,1070608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,57950,,0.0,0,,RPUNMLQJPHNFFAX97CA
馬公市,土地,四維段571~600地號,198.98,,一般農業區,甲種建築用地,1070620,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4100000,20605,,0.0,0,農變建專案核准變更起造人,RPQNMLMLPHNFFAX37CA
馬公市,土地,鐵線段961~990地號,422.85,,鄉村區,乙種建築用地,1070602,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4732300,11191,,0.0,0,,RPRNMLNLPHNFFAX57CA
馬公市,土地,馬公段1051~1080地號,105.0,商,,,1070528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,40000,,0.0,0,含未辦保存登記建物  門牌:澎湖縣馬公市重慶里15鄰民權路61號     65.10平方公尺  持分全部,RPPNMLRLPHNFFAX77CA
西嶼鄉,土地,二崁南段1021~1050地號,338.85,,,,1070516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,780000,2302,,0.0,0,權利人數:3人,RPSNMLLKPHNFFAX47DA
湖西鄉,土地,沙港南段331~360地號,1890.22,,一般農業區,農牧用地,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3031514,1604,,0.0,0,,RPPNMLMJQHNFFAX17CA
湖西鄉,土地,沙港南段331~360地號,410.53,,一般農業區,甲種建築用地,1070613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1465120,3569,,0.0,0,,RPQNMLMJQHNFFAX27CA
湖西鄉,土地,中西段811~840地號,416.19,,森林區,殯葬用地,1070613,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,240000,577,,0.0,0,,RPSNMLMJQHNFFAX47CA
馬公市,土地,中山段1~30地號,1030.84,,一般農業區,農牧用地,1070417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5612760,5445,,0.0,0,,RPWNMLQJPHNFFAX18CA
湖西鄉,土地,許家段691~720地號,504.7,,一般農業區,甲種建築用地,1070402,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,11888,,0.0,0,,RPOOMLQJPHNFFAX47CA
馬公市,房地(土地+建物),澎湖縣馬公市西文澳751~780號,222.0,,一般農業區,甲種建築用地,1070605,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061116,207.2,5,2,5,有,無,9060000,43726,,0.0,0,,RPRNMLOJPHNFFAX47CA
望安鄉,土地,望安段1351~1380地號,369.0,,鄉村區,乙種建築用地,1070606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,770000,2087,,0.0,0,,RPPNMLOKPHNFFAX37CA
