編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLKKPHNFFAX07CA,6,179.88,住商用,鋼筋混凝土造,101年6月19日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLNLPHNFFAX97CA,,317.14,住家用,鋼筋混凝土造,107年1月24日,三層,一層 二層 三層 見其他登記事項
RPRNMLOJPHNFFAX47CA,1,207.20,住家用,鋼筋混凝土造,106年11月16日,三層,一層 二層 三層
RPRNMLQKPHNFFAX77CA,,8.88,住家用,見其他登記事項,,一層,一層
RPRNMLKLPHNFFAX37DA,30,122.29,住家用,鋼筋混凝土加強磚造,77年2月13日,二層,一層 二層 電梯樓梯間
RPSNMLKKPHNFFAX27CA,39,77.30,住家用,鋼筋混凝土加強磚造,68年3月5日,二層,一層 二層 電梯樓梯間
RPPNMLQKPHNFFAX57CA,1,351.12,住家用,鋼筋混凝土造,106年5月8日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLKKPHNFFAX96CA,39,85.60,住家用,鋼筋混凝土加強磚造,67年11月22日,二層,一層 二層 電梯樓梯間
RPPNMLPLPHNFFAX57CA,20,184.82,住家用,鋼筋混凝土造,87年6月2日,三層,一層 二層 三層 電梯樓梯間
RPQNMLLKPHNFFAX17CA,,255.46,住家用,鋼筋混凝土造,107年3月28日,三層,一層 二層 三層 見其他登記事項
