編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPSNMLLKPHNFFAX47DA,二崁南段,338.85,非都市： ; 非都市編定：
RPRNMLNLPHNFFAX57CA,鐵線段,261.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNLPHNFFAX57CA,鐵線段,161.18,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJQHNFFAX47CA,中西段,210.18,非都市：森林區 ; 非都市編定：殯葬用地
RPSNMLMJQHNFFAX47CA,中西段,206.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLRLPHNFFAX77CA,馬公段,105.00,都市：商
RPPNMLMJQHNFFAX17CA,沙港南段,1890.22,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMLPHNFFAX37CA,四維段,27.69,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLMLPHNFFAX37CA,四維段,157.34,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLMLPHNFFAX37CA,四維段,1.14,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLMLPHNFFAX37CA,四維段,12.81,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLOKPHNFFAX37CA,望安段,369.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJPHNFFAX97CA,光榮段,181.19,都市：住
RPQNMLMJQHNFFAX27CA,沙港南段,410.53,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLQJPHNFFAX47CA,許家段,468.87,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLQJPHNFFAX47CA,許家段,33.53,非都市：一般農業區 ; 非都市編定：交通用地
RPOOMLQJPHNFFAX47CA,許家段,2.30,非都市：一般農業區 ; 非都市編定：交通用地
RPWNMLQJPHNFFAX18CA,中山段,1030.84,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLKLPHNFFAX47CA,國宅段,330.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLMLPHNFFAX47CA,風櫃西段,840.88,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLPHNFFAX17CA,南寮新段,475.02,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLPHNFFAX17CA,南寮新段,475.02,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLPHNFFAX17CA,南寮新段,475.02,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMLPHNFFAX27CA,四維段,27.69,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLMLPHNFFAX27CA,四維段,157.43,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLMLPHNFFAX27CA,四維段,1.14,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLMLPHNFFAX27CA,四維段,12.81,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLNKPHNFFAX37DA,湖西南段,480.07,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLKKPHNFFAX27DA,水垵段,170.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLNLPHNFFAX97CA,成功南段,253.29,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLOJPHNFFAX47CA,文東段,44.56,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLOJPHNFFAX47CA,文東段,177.45,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLQKPHNFFAX77CA,望安段,66.62,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLQKPHNFFAX77CA,望安段,17.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLTJPHNFFAX97EA,五德東段,100.45,都市：農
RPPNMLTJPHNFFAX97EA,五德東段,13.39,都市：農
RPPNMLTJPHNFFAX97EA,五德東段,9.90,都市：農
RPPNMLTJPHNFFAX97EA,五德東段,55.70,都市：農
